Date,Cost,Year,Month_Name,Month,Day,OrderDate
1995 Mar,1871906,1995,Mar,3,1,1/3/1995
1995 Apr,1723535,1995,Apr,4,1,1/4/1995
1995 May,1703581,1995,May,5,1,1/5/1995
1995 Jun,2125116,1995,Jun,6,1,1/6/1995
1995 Jul,1804222,1995,Jul,7,1,1/7/1995
1995 Aug,1641744,1995,Aug,8,1,1/8/1995
1995 Sep,2233794,1995,Sep,9,1,1/9/1995
1995 Oct,1802464,1995,Oct,10,1,1/10/1995
1995 Nov,2067220,1995,Nov,11,1,1/11/1995
1995 Dec,3886347,1995,Dec,12,1,1/12/1995
1996 Jan,1877537,1996,Jan,1,1,1/1/1996
1996 Feb,1436754,1996,Feb,2,1,1/2/1996
1996 Mar,1957675,1996,Mar,3,1,1/3/1996
1996 Apr,1755343,1996,Apr,4,1,1/4/1996
1996 May,1713775,1996,May,5,1,1/5/1996
1996 Jun,2307583,1996,Jun,6,1,1/6/1996
1996 Jul,1849879,1996,Jul,7,1,1/7/1996
1996 Aug,1784278,1996,Aug,8,1,1/8/1996
1996 Sep,2317775,1996,Sep,9,1,1/9/1996
1996 Oct,1950708,1996,Oct,10,1,1/10/1996
1996 Nov,2338682,1996,Nov,11,1,1/11/1996
1996 Dec,3861864,1996,Dec,12,1,1/12/1996
1997 Jan,1587795,1997,Jan,1,1,1/1/1997
1997 Feb,1522750,1997,Feb,2,1,1/2/1997
1997 Mar,2137919,1997,Mar,3,1,1/3/1997
1997 Apr,1869611,1997,Apr,4,1,1/4/1997
1997 May,1866006,1997,May,5,1,1/5/1997
1997 Jun,2431412,1997,Jun,6,1,1/6/1997
1997 Jul,2045770,1997,Jul,7,1,1/7/1997
1997 Aug,1871418,1997,Aug,8,1,1/8/1997
1997 Sep,2380907,1997,Sep,9,1,1/9/1997
1997 Oct,2128792,1997,Oct,10,1,1/10/1997
1997 Nov,2400082,1997,Nov,11,1,1/11/1997
1997 Dec,4123488,1997,Dec,12,1,1/12/1997
1998 Jan,1697057,1998,Jan,1,1,1/1/1998
1998 Feb,1593696,1998,Feb,2,1,1/2/1998
1998 Mar,2121814,1998,Mar,3,1,1/3/1998
1998 Apr,1864958,1998,Apr,4,1,1/4/1998
1998 May,1982739,1998,May,5,1,1/5/1998
1998 Jun,2346106,1998,Jun,6,1,1/6/1998
1998 Jul,2069949,1998,Jul,7,1,1/7/1998
1998 Aug,1948099,1998,Aug,8,1,1/8/1998
1998 Sep,2391464,1998,Sep,9,1,1/9/1998
1998 Oct,2076710,1998,Oct,10,1,1/10/1998
1998 Nov,2404452,1998,Nov,11,1,1/11/1998
1998 Dec,3984026,1998,Dec,12,1,1/12/1998
1999 Jan,1727313,1999,Jan,1,1,1/1/1999
1999 Feb,1597818,1999,Feb,2,1,1/2/1999
1999 Mar,2196495,1999,Mar,3,1,1/3/1999
1999 Apr,1874815,1999,Apr,4,1,1/4/1999
1999 May,1984310,1999,May,5,1,1/5/1999
1999 Jun,2469966,1999,Jun,6,1,1/6/1999
1999 Jul,2127560,1999,Jul,7,1,1/7/1999
1999 Aug,1972541,1999,Aug,8,1,1/8/1999
1999 Sep,2402994,1999,Sep,9,1,1/9/1999
1999 Oct,2146115,1999,Oct,10,1,1/10/1999
1999 Nov,2426858,1999,Nov,11,1,1/11/1999
1999 Dec,4114056,1999,Dec,12,1,1/12/1999
2000 Jan,1822624,2000,Jan,1,1,1/1/2000
2000 Feb,1640363,2000,Feb,2,1,1/2/2000
2000 Mar,2234505,2000,Mar,3,1,1/3/2000
2000 Apr,1957757,2000,Apr,4,1,1/4/2000
2000 May,2095521,2000,May,5,1,1/5/2000
2000 Jun,2550259,2000,Jun,6,1,1/6/2000
2000 Jul,2191107,2000,Jul,7,1,1/7/2000
2000 Aug,2048635,2000,Aug,8,1,1/8/2000
2000 Sep,2586765,2000,Sep,9,1,1/9/2000
2000 Oct,2348045,2000,Oct,10,1,1/10/2000
2000 Nov,2508472,2000,Nov,11,1,1/11/2000
2000 Dec,4323839,2000,Dec,12,1,1/12/2000
2001 Jan,2036360,2001,Jan,1,1,1/1/2001
2001 Feb,1814180,2001,Feb,2,1,1/2/2001
2001 Mar,2393302,2001,Mar,3,1,1/3/2001
2001 Apr,2074352,2001,Apr,4,1,1/4/2001
2001 May,2246099,2001,May,5,1,1/5/2001
2001 Jun,2748967,2001,Jun,6,1,1/6/2001
2001 Jul,2330855,2001,Jul,7,1,1/7/2001
2001 Aug,2167341,2001,Aug,8,1,1/8/2001
2001 Sep,2856425,2001,Sep,9,1,1/9/2001
2001 Oct,2375596,2001,Oct,10,1,1/10/2001
2001 Nov,2761684,2001,Nov,11,1,1/11/2001
2001 Dec,4762388,2001,Dec,12,1,1/12/2001
2002 Jan,2599130,2002,Jan,1,1,1/1/2002
2002 Feb,1972763,2002,Feb,2,1,1/2/2002
2002 Mar,2679847,2002,Mar,3,1,1/3/2002
2002 Apr,2325811,2002,Apr,4,1,1/4/2002
2002 May,2296096,2002,May,5,1,1/5/2002
2002 Jun,2892155,2002,Jun,6,1,1/6/2002
2002 Jul,2519882,2002,Jul,7,1,1/7/2002
2002 Aug,2367258,2002,Aug,8,1,1/8/2002
2002 Sep,2882108,2002,Sep,9,1,1/9/2002
2002 Oct,2603655,2002,Oct,10,1,1/10/2002
2002 Nov,2878799,2002,Nov,11,1,1/11/2002
2002 Dec,4888249,2002,Dec,12,1,1/12/2002
2003 Jan,2150865,2003,Jan,1,1,1/1/2003
2003 Feb,2052009,2003,Feb,2,1,1/2/2003
2003 Mar,2768410,2003,Mar,3,1,1/3/2003
2003 Apr,2394748,2003,Apr,4,1,1/4/2003
2003 May,2371785,2003,May,5,1,1/5/2003
2003 Jun,3076271,2003,Jun,6,1,1/6/2003
2003 Jul,2628974,2003,Jul,7,1,1/7/2003
2003 Aug,2380750,2003,Aug,8,1,1/8/2003
2003 Sep,3114954,2003,Sep,9,1,1/9/2003
2003 Oct,2707334,2003,Oct,10,1,1/10/2003
2003 Nov,2945682,2003,Nov,11,1,1/11/2003
2003 Dec,4881139,2003,Dec,12,1,1/12/2003
2004 Jan,2310490,2004,Jan,1,1,1/1/2004
2004 Feb,2133900,2004,Feb,2,1,1/2/2004
2004 Mar,2915200,2004,Mar,3,1,1/3/2004
2004 Apr,2529171,2004,Apr,4,1,1/4/2004
2004 May,2614002,2004,May,5,1,1/5/2004
2004 Jun,3242742,2004,Jun,6,1,1/6/2004
2004 Jul,2676908,2004,Jul,7,1,1/7/2004
2004 Aug,2542356,2004,Aug,8,1,1/8/2004
2004 Sep,3250842,2004,Sep,9,1,1/9/2004
2004 Oct,2845602,2004,Oct,10,1,1/10/2004
2004 Nov,3098729,2004,Nov,11,1,1/11/2004
2004 Dec,5024801,2004,Dec,12,1,1/12/2004
2005 Jan,2300702,2005,Jan,1,1,1/1/2005
2005 Feb,2208335,2005,Feb,2,1,1/2/2005
2005 Mar,2978152,2005,Mar,3,1,1/3/2005
2005 Apr,2491035,2005,Apr,4,1,1/4/2005
2005 May,2587458,2005,May,5,1,1/5/2005
2005 Jun,3324244,2005,Jun,6,1,1/6/2005
2005 Jul,2717618,2005,Jul,7,1,1/7/2005
2005 Aug,2518700,2005,Aug,8,1,1/8/2005
2005 Sep,3235931,2005,Sep,9,1,1/9/2005
2005 Oct,2765862,2005,Oct,10,1,1/10/2005
2005 Nov,3172357,2005,Nov,11,1,1/11/2005
2005 Dec,5186241,2005,Dec,12,1,1/12/2005
2006 Jan,2323031,2006,Jan,1,1,1/1/2006
2006 Feb,2219857,2006,Feb,2,1,1/2/2006
2006 Mar,3013488,2006,Mar,3,1,1/3/2006
2006 Apr,2613450,2006,Apr,4,1,1/4/2006
2006 May,2741663,2006,May,5,1,1/5/2006
2006 Jun,3419047,2006,Jun,6,1,1/6/2006
2006 Jul,2877647,2006,Jul,7,1,1/7/2006
2006 Aug,2667985,2006,Aug,8,1,1/8/2006
2006 Sep,3355862,2006,Sep,9,1,1/9/2006
2006 Oct,2998877,2006,Oct,10,1,1/10/2006
2006 Nov,3321565,2006,Nov,11,1,1/11/2006
2006 Dec,5560367,2006,Dec,12,1,1/12/2006
2007 Jan,2345638,2007,Jan,1,1,1/1/2007
2007 Feb,2362205,2007,Feb,2,1,1/2/2007
2007 Mar,3226184,2007,Mar,3,1,1/3/2007
2007 Apr,2872175,2007,Apr,4,1,1/4/2007
2007 May,2787300,2007,May,5,1,1/5/2007
2007 Jun,3517865,2007,Jun,6,1,1/6/2007
2007 Jul,2904457,2007,Jul,7,1,1/7/2007
2007 Aug,2754125,2007,Aug,8,1,1/8/2007
2007 Sep,3598228,2007,Sep,9,1,1/9/2007
2007 Oct,2989688,2007,Oct,10,1,1/10/2007
2007 Nov,3255552,2007,Nov,11,1,1/11/2007
2007 Dec,5523290,2007,Dec,12,1,1/12/2007
2008 Jan,3027328,2008,Jan,1,1,1/1/2008
2008 Feb,2441302,2008,Feb,2,1,1/2/2008
2008 Mar,3204095,2008,Mar,3,1,1/3/2008
2008 Apr,2611734,2008,Apr,4,1,1/4/2008
2008 May,3017264,2008,May,5,1,1/5/2008
2008 Jun,3475292,2008,Jun,6,1,1/6/2008
2008 Jul,2942196,2008,Jul,7,1,1/7/2008
2008 Aug,2858246,2008,Aug,8,1,1/8/2008
2008 Sep,3554730,2008,Sep,9,1,1/9/2008
