Date,Month,Year,Cost,OrderDate
1997 Aug,8,1997,1871418,01/08/1997
1997 Sep,9,1997,2380907,01/09/1997
1997 Oct,10,1997,2128792,01/10/1997
1997 Nov,11,1997,2400082,01/11/1997
1997 Dec,12,1997,4123488,01/12/1997
1998 Jan,1,1998,1697057,01/01/1998
1998 Feb,2,1998,1593696,01/02/1998
1998 Mar,3,1998,2121814,01/03/1998
1998 Apr,4,1998,1864958,01/04/1998
1998 May,5,1998,1982739,01/05/1998
1998 Jun,6,1998,2346106,01/06/1998
1998 Jul,7,1998,2069949,01/07/1998
1998 Aug,8,1998,1948099,01/08/1998
1998 Sep,9,1998,2391464,01/09/1998
1998 Oct,10,1998,2076710,01/10/1998
1998 Nov,11,1998,2404452,01/11/1998
1998 Dec,12,1998,3984026,01/12/1998
1999 Jan,1,1999,1727313,01/01/1999
1999 Feb,2,1999,1597818,01/02/1999
1999 Mar,3,1999,2196495,01/03/1999
1999 Apr,4,1999,1874815,01/04/1999
1999 May,5,1999,1984310,01/05/1999
1999 Jun,6,1999,2469966,01/06/1999
1999 Jul,7,1999,2127560,01/07/1999
1999 Aug,8,1999,1972541,01/08/1999
1999 Sep,9,1999,2402994,01/09/1999
1999 Oct,10,1999,2146115,01/10/1999
1999 Nov,11,1999,2426858,01/11/1999
1999 Dec,12,1999,4114056,01/12/1999
2000 Jan,1,2000,1822624,01/01/2000
2000 Feb,2,2000,1640363,01/02/2000
2000 Mar,3,2000,2234505,01/03/2000
2000 Apr,4,2000,1957757,01/04/2000
2000 May,5,2000,2095521,01/05/2000
2000 Jun,6,2000,2550259,01/06/2000
2000 Jul,7,2000,2191107,01/07/2000
2000 Aug,8,2000,2048635,01/08/2000
2000 Sep,9,2000,2586765,01/09/2000
2000 Oct,10,2000,2348045,01/10/2000
2000 Nov,11,2000,2508472,01/11/2000
2000 Dec,12,2000,4323839,01/12/2000
2001 Jan,1,2001,2036360,01/01/2001
2001 Feb,2,2001,1814180,01/02/2001
2001 Mar,3,2001,2393302,01/03/2001
2001 Apr,4,2001,2074352,01/04/2001
2001 May,5,2001,2246099,01/05/2001
2001 Jun,6,2001,2748967,01/06/2001
2001 Jul,7,2001,2330855,01/07/2001
2001 Aug,8,2001,2167341,01/08/2001
2001 Sep,9,2001,2856425,01/09/2001
2001 Oct,10,2001,2375596,01/10/2001
2001 Nov,11,2001,2761684,01/11/2001
